name,lat,long,type,
exit1,43.26376,-79.91767,exit,
exit2,43.263764,-79.917802,exit,
elevator1,43.263729,-79.917732,elevator,
elevator2,43.263721,-79.917367,elevator,
elevator3,43.263236,-79.917657,elevator,x
stairs1,43.263723,-79.917796,stairs,x
stairs2,43.263752,-79.917662,stairs,x
stairs3,43.263741,-79.917399,stairs,
hallway1,43.263607,-79.917753,hallway,x
hallway2,43.26374,-79.917769,hallway,x
hallway3,43.263748,-79.917657,hallway,x
hallway4,43.263646,-79.917297,hallway,x
hallway5,43.263573,-79.917287,hallway,x
hallway6,43.263399,-79.917747,hallway,
hallway7,43.26339,-79.917794,hallway,x
ramp,43.263326,-79.917805,ramp,x
stairs4,43.263334,-79.91774,stairs,x
stairs5,43.263157,-79.91763,stairs,
hallway8,43.263188,-79.917792,hallway,x
hallway9,43.263166,-79.917974,hallway,
hallway10,43.263134,-79.91798,hallway,
hallway11,43.263166,-79.918076,hallway,
stairs6,43.263291,-79.918075,stairs,
hallway12,43.263168,-79.918235,hallway,x
exit3,43.263122,-79.918236,exit,x
washroom,43.26315,-79.917979,washroom,x
exit4,43.263396,-79.917307,exit,
hallway13,43.2634,-79.917437,hallway,lp
hallway14,43.263492,-79.917557,hallway,lp
LP,43.263484,-79.917384,food,lp
hallway15,43.263493,-79.917743,hallway,
lotB1,43.263226,-79.916703,parking,
lotB2,43.263054,-79.916805,parking,
lotB3,43.262995,-79.916816,parking,
sidewalk1,43.263189,-79.916824,hallway,
sidewalk2,43.263248,-79.916948,hallway,
sidewalk3,43.263325,-79.917201,hallway,
sidewalk4,43.263039,-79.916909,hallway,
sidewalk5,43.263105,-79.917032,hallway,
sidewalk6,43.26309,-79.917263,hallway,
sidewalk7,43.263087,-79.917596,hallway,
sidewalk8,43.263075,-79.91795,hallway,
sidewalk9,43.263044,-79.918282,hallway,
starbucks,43.263149,-79.918413,food,